type,location,bedroom,bathroom,size_sqm,price
Apartment, 5th Settlement Compounds,3,2,161,2680000
Apartment, New Capital Compounds,3,2,154,2681910
Apartment, 5th Settlement Compounds,2,2,153,2684074
Apartment, El Katameya Compounds,3,2,155,2686000
Apartment, El Shorouk Compounds,3,2,180,2687552
Apartment, 5th Settlement Compounds,2,2,115,2688000
Apartment, 5th District,2,2,181,2688000
Apartment, South Investors Area,2,2,130,2694000
Apartment, Mostakbal City Compounds,3,2,206,2696400
Apartment, New Capital Compounds,3,2,173,2697000
Apartment, New Capital Compounds,3,2,144,2699999
Apartment, 5th Settlement Compounds,2,2,110,2700000
Apartment, 5th Settlement Compounds,2,2,110,2700000
Apartment, 5th Settlement Compounds,2,2,110,2700000
Apartment, 5th Settlement Compounds,2,2,115,2700000
Apartment, 5th Settlement Compounds,2,2,115,2700000
Apartment, 5th Settlement Compounds,2,2,120,2700000
Apartment, 5th Settlement Compounds,2,2,120,2700000
Apartment, 5th Settlement Compounds,2,2,120,2700000
Apartment, 90 Street,2,2,121,2700000
Apartment, 5th Settlement Compounds,2,2,136,2700000
Apartment, South Investors Area,3,2,138,2700000
Apartment, Cairo,3,2,140,2700000
Apartment, 5th Settlement Compounds,3,2,141,2700000
Apartment, 5th Settlement Compounds,3,2,141,2700000
Apartment, North Investors Area,3,2,144,2700000
Apartment, South Investors Area,2,2,146,2700000
Apartment, South Investors Area,2,2,150,2700000
Apartment, 5th Settlement Compounds,2,2,155,2700000
Apartment, 5th Settlement Compounds,3,2,160,2700000
Apartment, 5th Settlement Compounds,3,2,160,2700000
Apartment, Cairo,3,2,160,2700000
Apartment, 5th Settlement Compounds,2,2,161,2700000
Apartment, Cairo,3,2,165,2700000
Apartment, 5th Settlement Compounds,3,2,174,2700000
Apartment, 5th Settlement Compounds,3,2,174,2700000
Apartment, 5th Settlement Compounds,3,2,182,2700000
Apartment, South Investors Area,3,2,190,2700000
Apartment, 5th Settlement Compounds,3,2,198,2700000
Apartment, El Yasmeen,3,2,200,2700000
Apartment, Al Narges 1,3,2,200,2700000
Apartment, El Banafseg,4,2,220,2700000
Apartment, 1st Zone,3,2,230,2700000
Apartment, District 3,4,2,250,2700000
Apartment, El Laselky,3,2,251,2700000
Apartment, Almazah,3,2,260,2700000
Apartment, 1st Zone,3,2,270,2700000
Apartment, Zahraa El Maadi,3,2,300,2700000
Apartment, 5th Settlement Compounds,2,2,120,2707000
Apartment, 5th Settlement Compounds,2,2,120,2707000
Apartment, 5th Settlement Compounds,3,2,195,2720000
Apartment, Mostakbal City Compounds,2,2,165,2732200
Apartment, New Capital Compounds,3,2,198,2736000
Apartment, North Investors Area,2,2,122,2750000
Apartment, 6th District,2,2,125,2750000
Apartment, 5th Settlement Compounds,2,2,128,2750000
Apartment, El Korba,2,2,129,2750000
Apartment, 5th Settlement Compounds,2,2,135,2750000
Apartment, Cairo,3,2,135,2750000
Apartment, Cairo,3,2,143,2750000
Apartment, North Investors Area,3,2,150,2750000
Apartment, North Investors Area,3,2,160,2750000
Apartment, North Investors Area,3,2,160,2750000
Apartment, Mostakbal City Compounds,3,2,160,2750000
Penthouse, 5th Settlement Compounds,3,2,165,2750000
Apartment, 5th Settlement Compounds,3,2,178,2750000
Apartment, El Banafseg 10,3,2,220,2750000
Penthouse, District 4,3,2,275,2750000
Apartment, Mostakbal City Compounds,2,2,148,2750808
Apartment, New Cairo City,3,2,160,2753000
Apartment, 5th Settlement Compounds,3,2,185,2757000
Apartment, New Capital Compounds,3,2,150,2762996
Apartment, New Capital Compounds,3,2,150,2762996
Apartment, 5th Settlement Compounds,2,2,120,2770000
Apartment, Cairo,3,2,145,2770000
Apartment, 5th Settlement Compounds,3,2,161,2770000
Apartment, 5th Settlement Compounds,2,2,170,2771000
Apartment, Mostakbal City Compounds,3,2,220,2771000
Apartment, New Capital Compounds,3,2,156,2775000
Apartment, Rehab City First Phase,3,2,169,2775000
Apartment, Mostakbal City Compounds,3,2,144,2776653
Apartment, 5th Settlement Compounds,2,2,139,2780000
Apartment, El Shorouk Compounds,2,2,140,2780000
Apartment, 5th Settlement Compounds,2,2,144,2780000
Apartment, North Investors Area,3,2,144,2780000
Apartment, 5th Settlement Compounds,3,2,165,2781266
Apartment, North Investors Area,3,2,144,2782000
Apartment, Mostakbal City Compounds,3,2,215,2787000
Apartment, New Capital Compounds,2,2,145,2790000
Apartment, North Investors Area,3,2,152,2790318
Apartment, 5th Settlement Compounds,2,2,125,2798000
Apartment, 5th Settlement Compounds,3,2,165,2799998
Apartment, 5th Settlement Compounds,1,2,64,2800000
iVilla, 5th Settlement Compounds,1,2,100,2800000
Apartment, 5th Settlement Compounds,2,2,100,2800000
Apartment, 5th Settlement Compounds,2,2,115,2800000
Apartment, Hay El Maadi,2,2,120,2800000
Apartment, 5th Settlement Compounds,2,2,120,2800000
Apartment, 5th Settlement Compounds,2,2,122,2800000
Apartment, North Investors Area,2,2,122,2800000
Apartment, 5th Settlement Compounds,2,2,135,2800000
Apartment, El Shorouk Compounds,2,2,140,2800000
Apartment, 5th Settlement Compounds,2,2,142,2800000
Apartment, Cairo,3,2,143,2800000
Apartment, North Investors Area,3,2,144,2800000
Apartment, North Investors Area,3,2,144,2800000
Apartment, 5th Settlement Compounds,2,2,145,2800000
Apartment, South Investors Area,2,2,146,2800000
Apartment, South Investors Area,2,2,146,2800000
Apartment, New Capital Compounds,3,2,152,2800000
Apartment, El Korba,2,2,155,2800000
Apartment, 5th Settlement Compounds,2,2,157,2800000
Apartment, El Katameya Compounds,2,2,160,2800000
Apartment, North Investors Area,3,2,160,2800000
Apartment, 5th Settlement Compounds,3,2,163,2800000
Penthouse, 5th Settlement Compounds,3,2,165,2800000
Apartment, El Patio,3,2,165,2800000
Apartment, 5th Settlement Compounds,3,2,165,2800000
Apartment, 5th Settlement Compounds,3,2,170,2800000
Apartment, Heliopolis Square,3,2,175,2800000
Duplex, El Mahkama Square,3,2,180,2800000
Apartment, Cairo,5,2,180,2800000
Apartment, 5th Settlement Compounds,3,2,186,2800000
Apartment, 5th Settlement Compounds,3,2,186,2800000
Apartment, El Nozha,3,2,189,2800000
Penthouse, El Patio,3,2,190,2800000
Apartment, District 2,3,2,195,2800000
Apartment, District 1,3,2,200,2800000
Apartment, New Capital Compounds,3,2,200,2800000
Apartment, New Cairo City,3,2,214,2800000
Apartment, Ard El Golf,3,2,220,2800000
Apartment, Triumph Square,3,2,250,2800000
Apartment, Sheraton Al Matar,4,2,250,2800000
Duplex, Al Narges,4,2,385,2800000
Apartment, 5th Settlement Compounds,3,2,165,2815000
Apartment, North Investors Area,1,2,95,2816000
Apartment, Mostakbal City Compounds,3,2,230,2820318
Apartment, 5th Settlement Compounds,3,2,155,2829000
Apartment, 5th Settlement Compounds,3,2,155,2830000
Apartment, 5th Settlement Compounds,3,2,155,2830000
Apartment, 5th Settlement Compounds,2,2,117,2835000
Apartment, 5th Settlement Compounds,2,2,145,2835000
Apartment, 90 Street,2,2,121,2839666
Apartment, 6th District,2,2,140,2840000
Apartment, 6th District,2,2,140,2840000
Apartment, El Patio,3,2,165,2840000
Penthouse, 5th Settlement Compounds,2,2,166,2840000
Penthouse, 5th Settlement Compounds,2,2,166,2840000
Apartment, El Shorouk Compounds,2,2,120,2850000
Apartment, North Investors Area,3,2,138,2850000
Apartment, 5th Settlement Compounds,2,2,140,2850000
Apartment, Cairo,3,2,140,2850000
Apartment, 5th Settlement Compounds,2,2,142,2850000
Apartment, Cairo,3,2,143,2850000
Apartment, Cairo,3,2,143,2850000
Apartment, Cairo,3,2,143,2850000
Apartment, Cairo,3,2,143,2850000
Apartment, Cairo,3,2,143,2850000
Apartment, South Investors Area,2,2,146,2850000
Apartment, South Investors Area,2,2,146,2850000
Apartment, North Investors Area,3,2,152,2850000
Apartment, El Katameya Compounds,2,2,160,2850000
Apartment, 5th Settlement Compounds,2,2,164,2850000
Penthouse, 5th Settlement Compounds,2,2,166,2850000
Apartment, 5th Settlement Compounds,2,2,173,2850000
Penthouse, El Patio,3,2,185,2850000
Apartment, Almazah,3,2,240,2850000
Duplex, 5th Settlement Compounds,3,2,245,2850000
Apartment, 5th Settlement Compounds,3,2,150,2850871
Apartment, El Shorouk Compounds,2,2,134,2852000
Apartment, El Shorouk Compounds,2,2,134,2852000
Apartment, 5th Settlement Compounds,2,2,155,2860000
Apartment, New Capital Compounds,3,2,146,2869000
Apartment, Ring Road,2,2,117,2870000
Apartment, Uptown Cairo,2,2,170,2870000
Apartment, El Shorouk Compounds,3,2,180,2870088
Penthouse, El Shorouk Compounds,4,2,193,2875000
Apartment, 5th Settlement Compounds,2,2,139,2880000
Apartment, El Shorouk Compounds,2,2,132,2883947
Apartment, North Investors Area,3,2,160,2885000
Apartment, 5th Settlement Compounds,2,2,108,2887000
Apartment, 5th Settlement Compounds,2,2,142,2889000
Apartment, 5th Settlement Compounds,3,2,187,2895000
Apartment, 5th Settlement Compounds,1,2,88,2900000
Apartment, 5th Settlement Compounds,1,2,88,2900000
Apartment, 5th Settlement Compounds,2,2,115,2900000
Apartment, 5th Settlement Compounds,2,2,125,2900000
Apartment, 5th Settlement Compounds,2,2,125,2900000
Apartment, Ring Road,2,2,128,2900000
Apartment, 5th Settlement Compounds,2,2,128,2900000
Apartment, Cairo,2,2,128,2900000
Apartment, 5th Settlement Compounds,2,2,140,2900000
Apartment, 5th Settlement Compounds,2,2,144,2900000
Apartment, 5th Settlement Compounds,2,2,144,2900000
Apartment, North Investors Area,3,2,160,2900000
Apartment, North Investors Area,3,2,160,2900000
Apartment, Mostakbal City Compounds,3,2,164,2900000
Penthouse, 5th Settlement Compounds,2,2,166,2900000
Apartment, 5th Settlement Compounds,2,2,170,2900000
Apartment, 5th Settlement Compounds,2,2,174,2900000
Apartment, 5th Settlement Compounds,3,2,187,2900000
Apartment, Al Narges 5,3,2,210,2900000
Apartment, El Banafseg 7,3,2,220,2900000
Apartment, Heliopolis - Masr El Gedida,3,2,220,2900000
Apartment, 5th Settlement Compounds,2,2,128,2905000
Apartment, 5th Settlement Compounds,2,2,128,2905000
Apartment, 5th Settlement Compounds,2,2,128,2911000
Apartment, New Capital City,3,2,142,2911000
Apartment, 5th Settlement Compounds,2,2,128,2912000
Apartment, 5th Settlement Compounds,2,2,128,2912000
Apartment, New Capital City,3,2,208,2912000
Apartment, Ring Road,2,2,123,2917984
Apartment, 5th Settlement Compounds,2,2,123,2918000
Chalet, Ring Road,2,2,123,2918000
Apartment, Mostakbal City Compounds,3,2,195,2918700
Apartment, New Capital Compounds,3,2,156,2920320
Apartment, 5th Settlement Compounds,2,2,140,2925000
Apartment, North Investors Area,1,2,90,2930000
Apartment, North Investors Area,3,2,152,2932000
Apartment, North Investors Area,3,2,152,2932000
Apartment, North Investors Area,3,2,152,2932000
Apartment, 5th Settlement Compounds,2,2,140,2933000
Apartment, 5th Settlement Compounds,2,2,140,2933000
Apartment, 5th Settlement Compounds,2,2,140,2933000
Apartment, 5th Settlement Compounds,2,2,140,2933000
Apartment, 5th Settlement Compounds,3,2,170,2934000
Apartment, New Capital Compounds,3,2,222,2935000
Apartment, 5th Settlement Compounds,2,2,133,2937092
Apartment, El Patio,3,2,160,2940000
Apartment, El Patio,3,2,160,2940000
Apartment, 5th Settlement Compounds,4,2,235,2940000
Apartment, 5th Settlement Compounds,3,2,170,2945000
Apartment, 5th Settlement Compounds,3,2,170,2945000
Apartment, South Investors Area,2,2,147,2950000
Apartment, South Investors Area,2,2,150,2950000
Apartment, North Investors Area,3,2,154,2950000
Apartment, North Investors Area,3,2,154,2950000
Apartment, 5th Settlement Compounds,3,2,157,2950000
Apartment, Sheraton Al Matar,2,2,160,2950000
Apartment, 5th Settlement Compounds,3,2,167,2950000
Apartment, 5th Settlement Compounds,3,2,167,2950000
Apartment, North Investors Area,3,2,172,2950000
Apartment, North Investors Area,3,2,143,2953000
Apartment, North Investors Area,3,2,143,2953561
Apartment, 90 Street,3,2,140,2955000
Apartment, 5th Settlement Compounds,3,2,146,2960000
Apartment, New Capital Compounds,3,2,169,2968847
Apartment, New Capital Compounds,2,2,144,2969236
Duplex, 5th Settlement Compounds,2,2,143,2970000
Penthouse, El Patio,3,2,190,2970000
Apartment, North Investors Area,3,2,144,2972500
Apartment, North Investors Area,3,2,144,2972500
Duplex, El Shorouk Compounds,3,2,176,2973000
Apartment, 5th Settlement Compounds,3,2,157,2975000
Apartment, North Investors Area,2,2,130,2977000
Apartment, North Investors Area,2,2,130,2977000
Villa, The 5th Settlement,4,2,400,2978450
Apartment, North Investors Area,3,2,138,2981000
Apartment, South Investors Area,2,2,136,2990000
Apartment, South Investors Area,2,2,136,2996840
Duplex, 5th Settlement Compounds,2,2,100,2999999
Apartment, Cairo,3,2,286,2999999
Apartment, El Korba,2,2,98,3000000
Apartment, 5th Settlement Compounds,2,2,108,3000000
Townhouse, 5th Settlement Compounds,2,2,125,3000000
Apartment, New Cairo City,2,2,128,3000000
Apartment, 5th Settlement Compounds,2,2,133,3000000
Apartment, Rehab City Fifth Phase,2,2,137,3000000
Apartment, Cairo,3,2,138,3000000
Apartment, 5th Settlement Compounds,2,2,139,3000000
Apartment, 5th Settlement Compounds,2,2,140,3000000
Apartment, 5th Settlement Compounds,2,2,140,3000000
Apartment, North Investors Area,3,2,141,3000000
Apartment, 5th Settlement Compounds,2,2,142,3000000
Apartment, North Investors Area,3,2,143,3000000
Apartment, 5th Settlement Compounds,2,2,144,3000000
Apartment, South Investors Area,2,2,145,3000000
Apartment, North Investors Area,3,2,145,3000000
Apartment, South Investors Area,2,2,146,3000000
Apartment, South Investors Area,2,2,146,3000000
Apartment, Sheraton Al Matar,3,2,153,3000000
Apartment, 5th Settlement Compounds,2,2,155,3000000
Apartment, 5th Settlement Compounds,3,2,155,3000000
Apartment, Al Rehab,3,2,155,3000000
Apartment, 5th Settlement Compounds,3,2,155,3000000
Apartment, 5th Settlement Compounds,2,2,159,3000000
Apartment, 5th Settlement Compounds,3,2,160,3000000
Penthouse, 5th Settlement Compounds,3,2,164,3000000
Apartment, 5th Settlement Compounds,3,2,164,3000000
Apartment, Ring Road,3,2,165,3000000
Penthouse, 5th Settlement Compounds,2,2,166,3000000
Penthouse, 5th Settlement Compounds,2,2,166,3000000
Penthouse, 5th Settlement Compounds,2,2,166,3000000
Penthouse, 5th Settlement Compounds,2,2,166,3000000
Penthouse, 5th Settlement Compounds,2,2,166,3000000
Penthouse, 5th Settlement Compounds,2,2,166,3000000
Penthouse, 5th Settlement Compounds,3,2,166,3000000
Apartment, 5th Settlement Compounds,3,2,170,3000000
Apartment, Al Rehab,3,2,170,3000000
Apartment, Al Rehab,3,2,170,3000000
Apartment, 5th Settlement Compounds,3,2,174,3000000
Apartment, 5th Settlement Compounds,3,2,174,3000000
Apartment, New Capital City,3,2,177,3000000
Apartment, South Investors Area,3,2,185,3000000
Apartment, 5th Settlement Compounds,3,2,186,3000000
Apartment, 5th Settlement Compounds,3,2,186,3000000
Apartment, 5th Settlement Compounds,3,2,191,3000000
Apartment, 5th Settlement Compounds,3,2,191,3000000
Apartment, Heliopolis Square,3,2,210,3000000
Apartment, El Banafseg,3,2,210,3000000
Apartment, El Yasmeen 7,4,2,210,3000000
Apartment, New Capital Compounds,3,2,220,3000000
Apartment, El Hegaz Square,2,2,225,3000000
Apartment, Hay El Maadi,3,2,260,3000000
Apartment, El Hegaz Square,4,2,300,3000000
Apartment, El Hegaz Square,4,2,300,3000000
Apartment, El Hegaz Square,3,2,306,3000000
Duplex, El Banafseg 9,4,2,345,3000000
Apartment, 5th Settlement Compounds,3,2,155,3007301
Apartment, 5th Settlement Compounds,3,2,160,3011000
Apartment, 5th Settlement Compounds,2,2,105,3014700
Apartment, 5th Settlement Compounds,3,2,183,3035000
Apartment, 5th Settlement Compounds,3,2,172,3042000
Apartment, 5th Settlement Compounds,2,2,122,3050000
Apartment, Ring Road,2,2,128,3050000
Apartment, 5th Settlement Compounds,3,2,128,3050000
Apartment, North Investors Area,3,2,152,3050000
Apartment, North Investors Area,1,2,92,3056000
Penthouse, 5th Settlement Compounds,3,2,175,3062000
Apartment, 5th Settlement Compounds,2,2,139,3070000
Apartment, North Investors Area,3,2,138,3075000
Apartment, South Investors Area,2,2,146,3075000
Apartment, South Investors Area,2,2,146,3075000
Apartment, 5th Settlement Compounds,3,2,205,3075000
Apartment, Sheraton Al Matar,2,2,155,3076000
Apartment, North Investors Area,1,2,115,3077000
Apartment, North Investors Area,2,2,115,3077000
Apartment, 5th Settlement Compounds,3,2,200,3080000
Apartment, 5th Settlement Compounds,3,2,185,3087000
Apartment, 5th Settlement Compounds,3,2,160,3090000
Duplex, Uptown Cairo,3,2,311,3097978
Apartment, South Investors Area,3,2,173,3098200
Apartment, 5th Settlement Compounds,1,2,85,3100000
Duplex, 5th Settlement Compounds,1,2,100,3100000
Apartment, North Investors Area,2,2,115,3100000
Apartment, North Investors Area,2,2,122,3100000
Apartment, El Shorouk Compounds,2,2,127,3100000
Apartment, El Shorouk Compounds,2,2,127,3100000
Apartment, El Shorouk Compounds,2,2,127,3100000
Apartment, 5th Settlement Compounds,2,2,138,3100000
Apartment, South Investors Area,2,2,146,3100000
Apartment, South Investors Area,2,2,150,3100000
Apartment, South Investors Area,2,2,150,3100000
Apartment, The 1st Settlement,2,2,153,3100000
Apartment, North Investors Area,3,2,153,3100000
Apartment, North Investors Area,3,2,153,3100000
Apartment, 5th Settlement Compounds,3,2,155,3100000
Penthouse, 5th Settlement Compounds,2,2,166,3100000
Penthouse, 5th Settlement Compounds,2,2,167,3100000
Apartment, 90 Street,3,2,167,3100000
Apartment, South Investors Area,3,2,167,3100000
Penthouse, Al Andalus District,2,2,179,3100000
Apartment, 5th Settlement Compounds,3,2,186,3100000
Apartment, Ganoob El Acadimia,3,2,200,3100000
Apartment, Area F,3,2,210,3100000
Villa, Mostakbal City Compounds,3,2,265,3100000
Apartment, 5th Settlement Compounds,2,2,159,3109500
Apartment, New Capital Compounds,2,2,142,3115014
Apartment, New Capital Compounds,2,2,142,3115014
Apartment, New Capital Compounds,2,2,142,3115014
Apartment, New Capital Compounds,2,2,142,3115014
Apartment, New Capital Compounds,2,2,142,3115014
Apartment, North Investors Area,3,2,152,3120000
Apartment, North Investors Area,3,2,152,3120000
Penthouse, 5th Settlement Compounds,3,2,164,3120000
Apartment, 5th Settlement Compounds,3,2,183,3120000
Apartment, 5th Settlement Compounds,3,2,191,3120000
Apartment, 5th Settlement Compounds,3,2,215,3126000
Apartment, 5th Settlement Compounds,3,2,215,3126000
Apartment, North Investors Area,1,2,115,3128000
Apartment, North Investors Area,2,2,115,3128000
Apartment, North Investors Area,2,2,115,3128000
Apartment, North Investors Area,3,2,115,3128000
Duplex, Uptown Cairo,3,2,294,3133578
Apartment, 5th Settlement Compounds,2,2,140,3140000
Apartment, North Investors Area,2,2,140,3140000
Apartment, North Investors Area,3,2,145,3145000
Apartment, 5th Settlement Compounds,2,2,108,3150000
Apartment, 5th Settlement Compounds,2,2,133,3150000
Apartment, 5th Settlement Compounds,2,2,133,3150000
Apartment, 5th Settlement Compounds,2,2,145,3150000
Apartment, 5th Settlement Compounds,2,2,145,3150000
Apartment, North Investors Area,3,2,160,3150000
Apartment, 5th Settlement Compounds,3,2,160,3150000
Apartment, Ring Road,3,2,172,3150000
Apartment, Almazah,3,2,250,3150000
Apartment, 5th Settlement Compounds,2,2,148,3160000
Apartment, 5th Settlement Compounds,3,2,155,3175970
Apartment, Manteqet Al Cinema,3,2,187,3179000
Apartment, El Shorouk Compounds,2,2,134,3180200
Apartment, Al Rehab,3,2,177,3191000
Apartment, 5th Settlement Compounds,3,2,157,3195000
Apartment, 5th Settlement Compounds,2,2,108,3200000
Apartment, 5th Settlement Compounds,2,2,120,3200000
Apartment, 5th Settlement Compounds,2,2,120,3200000
Apartment, 5th Settlement Compounds,2,2,120,3200000
Apartment, Ring Road,2,2,123,3200000
Apartment, Al Andalus District,3,2,141,3200000
Apartment, New Capital Compounds,3,2,150,3200000
Apartment, North Investors Area,3,2,150,3200000
Apartment, 5th Settlement Compounds,3,2,155,3200000
Penthouse, 5th Settlement Compounds,3,2,166,3200000
Penthouse, 5th Settlement Compounds,3,2,166,3200000
Apartment, Mostakbal City Compounds,3,2,170,3200000
Apartment, Uptown Cairo,2,2,175,3200000
Apartment, 5th Settlement Compounds,3,2,185,3200000
Apartment, Sheraton Al Matar,2,2,188,3200000
Apartment, 5th Settlement Compounds,3,2,197,3200000
Apartment, North Investors Area,3,2,200,3200000
Apartment, El Yasmeen,3,2,200,3200000
Apartment, Almazah,3,2,200,3200000
Apartment, 5th Settlement Compounds,3,2,215,3200000
Apartment, Ganoob El Acadimia,3,2,225,3200000
Townhouse, El Shorouk Compounds,4,2,243,3200000
Apartment, 5th Settlement Compounds,4,2,290,3200000
Apartment, Almazah,4,2,355,3200000
Apartment, Ring Road,3,2,150,3200002
Apartment, 5th Settlement Compounds,3,2,140,3225000
Apartment, 5th Settlement Compounds,3,2,172,3235000
Apartment, 5th Settlement Compounds,2,2,114,3250000
Apartment, 5th Settlement Compounds,2,2,133,3250000
Apartment, 5th Settlement Compounds,2,2,133,3250000
Apartment, North Investors Area,3,2,138,3250000
Apartment, North Investors Area,3,2,138,3250000
Apartment, 5th Settlement Compounds,3,2,172,3250000
Apartment, 5th Settlement Compounds,3,2,172,3250000
Apartment, Rehab City Fifth Phase,3,2,196,3250000
Apartment, New Cairo City,3,2,240,3250000
Apartment, El Banafseg,3,2,250,3250000
Apartment, El Banafseg,3,2,250,3250000
Apartment, El Banafseg,3,2,250,3250000
Apartment, Sheraton Al Matar,3,2,250,3250000
Apartment, El Banafseg,3,2,250,3250000
Apartment, North Investors Area,3,2,144,3260000
Apartment, 5th Settlement Compounds,3,2,160,3260000
Apartment, 5th Settlement Compounds,2,2,144,3269000
Apartment, 5th Settlement Compounds,2,2,141,3271000
Apartment, 5th Settlement Compounds,2,2,141,3271000
Apartment, 5th Settlement Compounds,3,2,164,3280000
Apartment, 5th Settlement Compounds,3,2,170,3280000
Apartment, El Yasmeen 3,3,2,270,3280000
Apartment, 5th Settlement Compounds,2,2,141,3288333
Apartment, 5th Settlement Compounds,2,2,133,3291195
Apartment, The 1st Settlement,1,2,93,3300000
Apartment, The 1st Settlement,2,2,93,3300000
Apartment, 5th Settlement Compounds,2,2,108,3300000
Apartment, 5th Settlement Compounds,2,2,133,3300000
Apartment, El Shorouk Compounds,3,2,135,3300000
Apartment, El Katameya Compounds,2,2,136,3300000
Apartment, New Capital Compounds,3,2,141,3300000
Apartment, 5th Settlement Compounds,2,2,144,3300000
Apartment, 5th Settlement Compounds,3,2,144,3300000
Apartment, Ring Road,3,2,146,3300000
Apartment, The 1st Settlement,2,2,153,3300000
Apartment, Rehab City Forth Phase,3,2,155,3300000
Apartment, North Investors Area,3,2,165,3300000
Apartment, South Investors Area,3,2,170,3300000
Apartment, Sheraton Al Matar,3,2,170,3300000
Apartment, Cairo,4,2,172,3300000
Apartment, 5th Settlement Compounds,3,2,175,3300000
Apartment, 5th Settlement Compounds,3,2,193,3300000
Apartment, 5th Settlement Compounds,3,2,193,3300000
Penthouse, South Investors Area,3,2,200,3300000
Apartment, El Yasmeen,3,2,210,3300000
Apartment, Masaken Al Mohandesin,4,2,220,3300000
Apartment, 6th Zone,3,2,265,3300000
Duplex, Almazah,3,2,275,3300000
Apartment, 5th Settlement Compounds,3,2,145,3307000
Penthouse, 5th Settlement Compounds,3,2,175,3307000
Apartment, 5th Settlement Compounds,2,2,119,3317000
Apartment, 90 Street,3,2,171,3317023
Apartment, New Capital Compounds,2,2,134,3324146
Apartment, New Capital Compounds,2,2,134,3324146
Apartment, New Capital Compounds,2,2,134,3324146
Apartment, New Capital Compounds,2,2,134,3324146
Apartment, Mostakbal City Compounds,3,2,198,3329000
Apartment, 5th Settlement Compounds,2,2,142,3333000
Apartment, New Capital Compounds,3,2,179,3337784
Apartment, 5th Settlement Compounds,3,2,170,3339253
Apartment, 5th Settlement Compounds,3,2,170,3339253
Apartment, North Investors Area,3,2,138,3340000
Apartment, 5th Settlement Compounds,2,2,133,3350000
Apartment, 5th Settlement Compounds,2,2,133,3350000
Apartment, 5th Settlement Compounds,2,2,156,3350000
Apartment, 5th Settlement Compounds,2,2,160,3350000
Apartment, 5th Settlement Compounds,3,2,165,3350000
Apartment, 5th Settlement Compounds,2,2,170,3350000
Apartment, 5th Settlement Compounds,3,2,206,3350000
iVilla, 5th Settlement Compounds,1,2,120,3354692
Apartment, North Investors Area,2,2,130,3370000
Apartment, 5th Settlement Compounds,2,2,157,3370000
Apartment, 5th Settlement Compounds,3,2,157,3370000
Duplex, The 5th Settlement,3,2,270,3370000
Apartment, El Shorouk Compounds,2,2,134,3375590
Apartment, El Shorouk Compounds,2,2,134,3375590
Apartment, Mostakbal City Compounds,2,2,142,3377000
Apartment, 5th Settlement Compounds,2,2,133,3380000
Apartment, 90 Street,3,2,171,3382000
Apartment, 5th Settlement Compounds,1,2,64,3385000
Apartment, New Capital Compounds,3,2,185,3393765
Apartment, 5th Settlement Compounds,2,2,133,3400000
Apartment, 5th Settlement Compounds,2,2,140,3400000
Apartment, South Investors Area,2,2,146,3400000
Apartment, The 1st Settlement,2,2,153,3400000
Apartment, 5th Settlement Compounds,2,2,160,3400000
Penthouse, 5th Settlement Compounds,2,2,166,3400000
Apartment, 5th Settlement Compounds,3,2,174,3400000
Penthouse, 5th Settlement Compounds,3,2,175,3400000
Apartment, The 3rd Settlement,3,2,200,3400000
Apartment, Almazah,3,2,200,3400000
Apartment, Cairo,5,2,235,3400000
Apartment, South Investors Area,3,2,161,3417000
Apartment, 5th Settlement Compounds,2,2,133,3422842
Apartment, North Investors Area,3,2,165,3432660
Apartment, 5th Settlement Compounds,3,2,157,3435000
Apartment, 5th Settlement Compounds,2,2,144,3440000
Apartment, North Investors Area,3,2,166,3447000
Apartment, North Investors Area,3,2,147,3450000
Apartment, North Investors Area,3,2,144,3455000
Apartment, 5th Settlement Compounds,3,2,155,3460000
Apartment, 5th Settlement Compounds,2,2,156,3469000
Apartment, 5th Settlement Compounds,3,2,177,3470000
Apartment, South Investors Area,3,2,195,3475200
Apartment, 5th Settlement Compounds,3,2,202,3483000
Apartment, North Investors Area,3,2,144,3485000
Apartment, 5th Settlement Compounds,2,2,148,3497350
Apartment, 5th Settlement Compounds,2,2,93,3500000
Apartment, 5th Settlement Compounds,2,2,104,3500000
Apartment, 5th Settlement Compounds,2,2,108,3500000
Apartment, 5th Settlement Compounds,2,2,113,3500000
Apartment, 5th Settlement Compounds,2,2,114,3500000
Apartment, North Investors Area,2,2,130,3500000
Apartment, 5th Settlement Compounds,2,2,133,3500000
Apartment, 5th Settlement Compounds,2,2,133,3500000
Apartment, 5th Settlement Compounds,2,2,134,3500000
Apartment, North Investors Area,2,2,141,3500000
Apartment, North Investors Area,2,2,141,3500000
Apartment, 5th Settlement Compounds,3,2,145,3500000
Apartment, North Investors Area,3,2,145,3500000
Apartment, North Investors Area,3,2,145,3500000
Apartment, South Investors Area,2,2,146,3500000
Apartment, South Investors Area,2,2,146,3500000
Apartment, North Investors Area,2,2,148,3500000
Apartment, South Investors Area,2,2,155,3500000
Apartment, 5th Settlement Compounds,3,2,159,3500000
Apartment, 5th Settlement Compounds,2,2,160,3500000
Apartment, North Investors Area,3,2,160,3500000
Apartment, 5th Settlement Compounds,3,2,160,3500000
Apartment, 5th Settlement Compounds,3,2,160,3500000
Apartment, 5th Settlement Compounds,3,2,160,3500000
Apartment, North Investors Area,3,2,162,3500000
Apartment, 5th Settlement Compounds,3,2,164,3500000
Penthouse, 5th Settlement Compounds,2,2,166,3500000
Penthouse, Al Andalus District,2,2,167,3500000
